1960,1,Femenino,1006
1960,1,Masculino,1111
1960,2,Femenino,943
1960,2,Masculino,981
1960,3,Femenino,952
1960,3,Masculino,1007
1960,4,Femenino,852
1960,4,Masculino,952
1960,5,Femenino,959
1960,5,Masculino,973
1960,6,Femenino,929
1960,6,Masculino,1030
1960,7,Femenino,1060
1960,7,Masculino,1101
1960,8,Femenino,1011
1960,8,Masculino,1088
1960,9,Femenino,1088
1960,9,Masculino,1129
1960,10,Femenino,1019
1960,10,Masculino,1094
1960,11,Femenino,1054
1960,11,Masculino,1146
1960,12,Femenino,1043
1960,12,Masculino,1116
1961,1,Femenino,1104
1961,1,Masculino,1193
1961,2,Femenino,944
1961,2,Masculino,1007
1961,3,Femenino,1084
1961,3,Masculino,1116
1961,4,Femenino,974
1961,4,Masculino,1033
1961,5,Femenino,985
1961,5,Masculino,1010
1961,6,Femenino,932
1961,6,Masculino,983
1961,7,Femenino,1023
1961,7,Masculino,1103
1961,8,Femenino,1020
1961,8,Masculino,1104
1961,9,Femenino,1062
1961,9,Masculino,1064
1961,10,Femenino,1150
1961,10,Masculino,1163
1961,11,Femenino,1146
1961,11,Masculino,1115
1961,12,Femenino,1046
1961,12,Masculino,1085
1962,1,Femenino,1113
1962,1,Masculino,1121
1962,2,Femenino,913
1962,2,Masculino,1068
1962,3,Femenino,994
1962,3,Masculino,1001
1962,4,Femenino,938
1962,4,Masculino,1018
1962,5,Femenino,1005
1962,5,Masculino,1027
1962,6,Femenino,975
1962,6,Masculino,1003
1962,7,Femenino,1001
1962,7,Masculino,1066
1962,8,Femenino,1117
1962,8,Masculino,1138
1962,9,Femenino,1063
1962,9,Masculino,1162
1962,10,Femenino,1146
1962,10,Masculino,1227
1962,11,Femenino,1165
1962,11,Masculino,1179
1962,12,Femenino,1110
1962,12,Masculino,1125
1963,1,Femenino,1101
1963,1,Masculino,1200
1963,2,Femenino,997
1963,2,Masculino,1026
1963,3,Femenino,1108
1963,3,Masculino,1164
1963,4,Femenino,1099
1963,4,Masculino,1143
1963,5,Femenino,1069
1963,5,Masculino,1108
1963,6,Femenino,986
1963,6,Masculino,1041
1963,7,Femenino,993
1963,7,Masculino,1122
1963,8,Femenino,1068
1963,8,Masculino,1126
1963,9,Femenino,1073
1963,9,Masculino,1120
1963,10,Femenino,1154
1963,10,Masculino,1237
1963,11,Femenino,1012
1963,11,Masculino,1130
1963,12,Femenino,1103
1963,12,Masculino,1125
1964,1,Femenino,1059
1964,1,Masculino,1121
1964,2,Femenino,1003
1964,2,Masculino,1055
1964,3,Femenino,1029
1964,3,Masculino,1109
1964,4,Femenino,1004
1964,4,Masculino,1072
1964,5,Femenino,1029
1964,5,Masculino,1028
1964,6,Femenino,999
1964,6,Masculino,1026
1964,7,Femenino,1094
1964,7,Masculino,1127
1964,8,Femenino,1077
1964,8,Masculino,1227
1964,9,Femenino,1087
1964,9,Masculino,1168
1964,10,Femenino,1109
1964,10,Masculino,1177
1964,11,Femenino,1055
1964,11,Masculino,1095
1964,12,Femenino,1078
1964,12,Masculino,1085
1965,1,Femenino,1070
1965,1,Masculino,1138
1965,2,Femenino,965
1965,2,Masculino,1008
1965,3,Femenino,1003
1965,3,Masculino,1132
1965,4,Femenino,962
1965,4,Masculino,1019
1965,5,Femenino,939
